NZ_CP034778.1_1	U3U6Q6
NZ_CP034778.1_964	D1CHA3
NZ_CP034778.1_966	A9AVH6
NZ_CP034778.1_967	D1C3T7
NZ_CP034778.1_968	D1C3T6
NZ_CP034778.1_969	D1C3T5
NZ_CP034778.1_970	B9L4A7
NZ_CP034778.1_972	D1CHA2
NZ_CP034778.1_973	I0I6G4
NZ_CP034778.1_974	B1GYX5
NZ_CP034778.1_976	U3U7A0
NZ_CP034778.1_979	E6W267
NZ_CP034778.1_980	B2UNJ7
NZ_CP034778.1_981	I3ZME6
NZ_CP034778.1_982	I3ZME7
NZ_CP034778.1_983	I3ZME7
NZ_CP034778.1_984	E4TEK7
NZ_CP034778.1_985	S0ETM6
NZ_CP034778.1_986	S6BY42
NZ_CP034778.1_987	E8N5I0
NZ_CP034778.1_988	S6CGM5
NZ_CP034778.1_989	U3U7A6
NZ_CP034778.1_990	U3U5M0
NZ_CP034778.1_992	U3U201
NZ_CP034778.1_993	U3U725
NZ_CP034778.1_994	U3U8Z4
NZ_CP034778.1_995	U3U7C1
NZ_CP034778.1_996	U3U5N4
NZ_CP034778.1_998	U3U219
NZ_CP034778.1_999	U3U737
NZ_CP034778.1_1000	U3U903
NZ_CP034778.1_1001	U3U7D5
NZ_CP034778.1_1003	U3U5N7
NZ_CP034778.1_1004	U3U224
NZ_CP034778.1_1005	U3U741
NZ_CP034778.1_1006	S6BJF7
NZ_CP034778.1_1007	S6BCP5
NZ_CP034778.1_1008	S6BYF7
NZ_CP034778.1_1009	S6CG30
NZ_CP034778.1_1010	U3U7D9
NZ_CP034778.1_1012	A9B1V7
NZ_CP034778.1_1013	G8NVK5
NZ_CP034778.1_1015	U3U2Y0
NZ_CP034778.1_1016	E1R2A8
NZ_CP034778.1_1019	U3U5P1
NZ_CP034778.1_1021	E8X1M5
NZ_CP034778.1_1022	G2LFY7
NZ_CP034778.1_1023	A5UZ70
NZ_CP034778.1_1024	G2LFY9
NZ_CP034778.1_1025	B0SUE2
NZ_CP034778.1_1028	D1CAS1
NZ_CP034778.1_1029	G8NWE3
NZ_CP034778.1_1030	A9WIA6
NZ_CP034778.1_1032	H9UGR7
NZ_CP034778.1_1033	H9UGR7
NZ_CP034778.1_1034	D4H2B5
NZ_CP034778.1_1035	H9UHR1
NZ_CP034778.1_1036	A9AZG1
NZ_CP034778.1_1037	S6BS05
NZ_CP034778.1_1038	C0QXV0
NZ_CP034778.1_1039	O50980
NZ_CP034778.1_1040	C0QXV3
NZ_CP034778.1_1041	O50980
NZ_CP034778.1_1042	D5EHQ2
NZ_CP034778.1_1044	R4UCT9
NZ_CP034778.1_1045	D8P9A8
NZ_CP034778.1_1046	S6CGY3
NZ_CP034778.1_1047	B9L1W7
NZ_CP034778.1_1048	S6C0T3
NZ_CP034778.1_1049	S6BM05
NZ_CP034778.1_1050	S6CGY1
NZ_CP034778.1_1052	D8L153
NZ_CP034778.1_1053	D8P8U6
NZ_CP034778.1_1054	D5ML60
NZ_CP034778.1_1055	B5YKR2
NZ_CP034778.1_1056	B5YKR1
NZ_CP034778.1_1057	E8MY00
NZ_CP034778.1_1059	D5EDT0
NZ_CP034778.1_1061	F4LLZ9
NZ_CP034778.1_1062	C0R0B9
NZ_CP034778.1_1063	B8E3A6
NZ_CP034778.1_1064	D8L151
NZ_CP034778.1_1065	E8N5U8
NZ_CP034778.1_1066	E8X1D7
NZ_CP034778.1_1067	I4B2H4
NZ_CP034778.1_1068	F0RSZ8
NZ_CP034778.1_1069	F5YIW2
NZ_CP034778.1_1070	S6BF22
NZ_CP034778.1_1071	H1XRG3
NZ_CP034778.1_1073	Q2ST86
NZ_CP034778.1_1074	A9W9S0
NZ_CP034778.1_1075	A9W9S2
NZ_CP034778.1_1076	A9W9S3
NZ_CP034778.1_1077	S6CEG7
NZ_CP034778.1_1079	Q73ND0
NZ_CP034778.1_1080	H9UGR7
NZ_CP034778.1_1081	D4H2B3
NZ_CP034778.1_1082	S6BYX2
NZ_CP034778.1_1083	U3U744
NZ_CP034778.1_1084	S6BTH4
NZ_CP034778.1_1085	U3U909
NZ_CP034778.1_1086	U3U7E2
NZ_CP034778.1_1087	B1ZMA1
NZ_CP034778.1_1088	I6ZZW7
NZ_CP034778.1_1090	U3U5P3
NZ_CP034778.1_1091	F2NTN2
NZ_CP034778.1_1092	D4H7Z5
NZ_CP034778.1_1093	D5EJL6
NZ_CP034778.1_1094	Q1IM05
NZ_CP034778.1_1095	B3DUF1
NZ_CP034778.1_1098	F8A8T8
NZ_CP034778.1_1099	D8K426
NZ_CP034778.1_1100	D4H1P0
NZ_CP034778.1_1101	D4H1P1
NZ_CP034778.1_1102	S5MIQ3
NZ_CP034778.1_1103	P78027
NZ_CP034778.1_1104	C5J5G6
NZ_CP034778.1_1106	C1F7V6
NZ_CP034778.1_1107	Q1IJQ8
NZ_CP034778.1_1111	U3U3G1
NZ_CP034778.1_1113	I4B4R6
NZ_CP034778.1_1114	I3ZGY7
NZ_CP034778.1_1115	I0ILJ4
NZ_CP034778.1_1116	E8X1X5
NZ_CP034778.1_1117	G8NVK5
NZ_CP034778.1_1118	I3ZK15
NZ_CP034778.1_1119	D5MFQ5
NZ_CP034778.1_1131	D4H2C8
NZ_CP034778.1_1133	Q01ZR0
NZ_CP034778.1_1134	A5V093
NZ_CP034778.1_1135	G2LJQ1
NZ_CP034778.1_1136	F8EY57
NZ_CP034778.1_1137	D1CFW4
NZ_CP034778.1_1140	B9KYI2
NZ_CP034778.1_1141	C1F7X5
NZ_CP034778.1_1143	D8PHC4
NZ_CP034778.1_1144	D8PHC3
NZ_CP034778.1_1145	G8QW06
NZ_CP034778.1_1147	G8NUC8
NZ_CP034778.1_1148	E1R9X0
NZ_CP034778.1_1149	U3U2N5
NZ_CP034778.1_1150	S6CFU7
NZ_CP034778.1_1153	S6BXV5
NZ_CP034778.1_1154	U3U9C6
NZ_CP034778.1_1155	U3U7K3
NZ_CP034778.1_1156	I0GJL0
NZ_CP034778.1_1157	S6BL27
NZ_CP034778.1_1158	U3U233
NZ_CP034778.1_1159	U3U748
NZ_CP034778.1_1160	U3U912
NZ_CP034778.1_1161	U3U7E6
NZ_CP034778.1_1162	U3U5P7
NZ_CP034778.1_1164	A9B7B4
NZ_CP034778.1_1165	I0IQE7
NZ_CP034778.1_1166	D1CIZ8
NZ_CP034778.1_1168	U3U235
NZ_CP034778.1_1169	U3U752
NZ_CP034778.1_1170	B9L246
NZ_CP034778.1_1171	U3U915
NZ_CP034778.1_1172	S6BVL4
NZ_CP034778.1_1173	S6BW64
NZ_CP034778.1_1174	U3U239
NZ_CP034778.1_1175	I6Z2M4
NZ_CP034778.1_1176	U3U754
NZ_CP034778.1_1177	C1A7Q4
NZ_CP034778.1_1179	U3U9C8
NZ_CP034778.1_1180	D1CFV1
NZ_CP034778.1_1182	S6BJS5
NZ_CP034778.1_1183	B1ZWW3
NZ_CP034778.1_1184	U3U2N1
NZ_CP034778.1_1185	E1R7A1
NZ_CP034778.1_1186	S6BI86
NZ_CP034778.1_1188	U3U646
NZ_CP034778.1_1189	S6BY61
NZ_CP034778.1_1193	U3U7V0
NZ_CP034778.1_1194	U3U9C4
NZ_CP034778.1_1195	U3U7K1
NZ_CP034778.1_1196	U3U2M6
NZ_CP034778.1_1197	S6BIT9
NZ_CP034778.1_1198	S6CFZ2
NZ_CP034778.1_1199	U3U7U7
NZ_CP034778.1_1200	S6BQL5
NZ_CP034778.1_1201	C0R285
NZ_CP034778.1_1203	Q1IQ63
NZ_CP034778.1_1204	S6BZB0
NZ_CP034778.1_1205	S6BUK9
NZ_CP034778.1_1206	D8PFE3
NZ_CP034778.1_1208	D8PFE5
NZ_CP034778.1_1209	S6BAK1
NZ_CP034778.1_1210	Q021E0
NZ_CP034778.1_1211	U3U7J6
NZ_CP034778.1_1213	E8N2P0
NZ_CP034778.1_1214	G8NTG5
NZ_CP034778.1_1215	G8NTG6
NZ_CP034778.1_1217	S6BYC5
NZ_CP034778.1_1222	S6BXH0
NZ_CP034778.1_1223	S6BS72
NZ_CP034778.1_1224	S6BIA8
NZ_CP034778.1_1225	S6BXJ1
NZ_CP034778.1_1226	S6BSC6
NZ_CP034778.1_1227	S6CFR0
NZ_CP034778.1_1228	S6BIB0
NZ_CP034778.1_1229	S6BXJ6
NZ_CP034778.1_1230	S6BBZ9
NZ_CP034778.1_1231	D8P866
NZ_CP034778.1_1232	A9WJQ9
NZ_CP034778.1_1233	A5V1E6
NZ_CP034778.1_1235	E8UYU2
NZ_CP034778.1_1236	D4MAJ2
NZ_CP034778.1_1237	D5ECN6
NZ_CP034778.1_1238	G0GBK1
NZ_CP034778.1_1239	U3U7U3
NZ_CP034778.1_1240	U3U9B9
NZ_CP034778.1_1242	U3U2L8
NZ_CP034778.1_1243	U3U637
NZ_CP034778.1_1245	I4BYD2
NZ_CP034778.1_1246	U3U9B7
NZ_CP034778.1_1247	E6W6Y4
NZ_CP034778.1_1250	B2UKR8
NZ_CP034778.1_1265	D9S9U0
NZ_CP034778.1_1271	Q1IV16
NZ_CP034778.1_1272	U3U7I8
NZ_CP034778.1_1273	S6CG94
NZ_CP034778.1_1274	D5EQH3
NZ_CP034778.1_1275	D5ELQ8
NZ_CP034778.1_1276	B9L5G5
NZ_CP034778.1_1277	S6BS19
NZ_CP034778.1_1279	I3ZKI3
NZ_CP034778.1_1280	B3DY44
NZ_CP034778.1_1281	E6W1I9
NZ_CP034778.1_1282	S6BRQ9
NZ_CP034778.1_1283	S6CFD0
NZ_CP034778.1_1284	O51771
NZ_CP034778.1_1285	F4LLZ9
NZ_CP034778.1_1286	F8E606
NZ_CP034778.1_1287	Q73KG7
NZ_CP034778.1_1288	S6BRR7
NZ_CP034778.1_1289	G2LG10
NZ_CP034778.1_1290	S6BX29
NZ_CP034778.1_1291	S6BTW5
NZ_CP034778.1_1292	S6BI58
NZ_CP034778.1_1293	I0AJ90
NZ_CP034778.1_1294	S6BI62
NZ_CP034778.1_1295	U3U2K9
NZ_CP034778.1_1297	G7V593
NZ_CP034778.1_1298	S6BEW5
NZ_CP034778.1_1302	U3U7T5
NZ_CP034778.1_1303	S6BWS5
NZ_CP034778.1_1304	D4H2H3
NZ_CP034778.1_1305	E6W686
NZ_CP034778.1_1306	I3ZI29
NZ_CP034778.1_1308	U3U775
NZ_CP034778.1_1309	U3U9H1
NZ_CP034778.1_1310	E4TI03
NZ_CP034778.1_1311	G7V6A7
NZ_CP034778.1_1313	E8N2F2
NZ_CP034778.1_1314	C0QYU2
NZ_CP034778.1_1315	H1XV57
NZ_CP034778.1_1316	H1XR91
NZ_CP034778.1_1317	H1XWR0
NZ_CP034778.1_1318	H1XR93
NZ_CP034778.1_1319	H1XR94
NZ_CP034778.1_1320	H1XT08
NZ_CP034778.1_1321	D1B7R7
NZ_CP034778.1_1322	E8N2E6
NZ_CP034778.1_1323	D1B7Q7
NZ_CP034778.1_1324	E8N2E8
NZ_CP034778.1_1325	E8N2E9
NZ_CP034778.1_1326	H1XR87
NZ_CP034778.1_1328	B1ZV07
NZ_CP034778.1_1329	S6BRZ4
NZ_CP034778.1_1330	B1ZZB9
NZ_CP034778.1_1333	G8NX56
NZ_CP034778.1_1334	U3U9B3
NZ_CP034778.1_1335	U3U7I0
NZ_CP034778.1_1336	U3U2K4
NZ_CP034778.1_1337	U3U626
NZ_CP034778.1_1338	S6BSP8
NZ_CP034778.1_1340	I0I5S1
NZ_CP034778.1_1341	F5YRA5
NZ_CP034778.1_1343	U3U7T1
NZ_CP034778.1_1344	U3U9B1
NZ_CP034778.1_1345	U3U7H6
NZ_CP034778.1_1346	U3U2K1
NZ_CP034778.1_1347	S6BY88
NZ_CP034778.1_1349	U3U7T6
NZ_CP034778.1_1351	U3U2W6
NZ_CP034778.1_1352	E4TFU6
NZ_CP034778.1_1353	U3U6C2
NZ_CP034778.1_1356	S6BRV0
NZ_CP034778.1_1357	D5EPU6
NZ_CP034778.1_1358	U3U9I3
NZ_CP034778.1_1360	A9AYU4
NZ_CP034778.1_1361	E8UYT9
NZ_CP034778.1_1363	U3U830
NZ_CP034778.1_1364	B5YGI8
NZ_CP034778.1_1365	B5YGI9
NZ_CP034778.1_1366	S6CGJ2
NZ_CP034778.1_1367	B2UP40
NZ_CP034778.1_1368	C9RMC0
NZ_CP034778.1_1369	A9WGB3
NZ_CP034778.1_1372	E8WV95
NZ_CP034778.1_1373	U3U6C5
NZ_CP034778.1_1374	F8C285
NZ_CP034778.1_1376	C1ABM2
NZ_CP034778.1_1377	C1ABM1
NZ_CP034778.1_1378	U3U2X1
NZ_CP034778.1_1379	S6BT17
NZ_CP034778.1_1380	U3U7T9
NZ_CP034778.1_1381	U3U9I7
NZ_CP034778.1_1383	B2KB21
NZ_CP034778.1_1386	Q8F0E4
NZ_CP034778.1_1387	U3U834
NZ_CP034778.1_1388	Q025E3
NZ_CP034778.1_1390	U3U6C8
NZ_CP034778.1_1391	J9ZFJ5
NZ_CP034778.1_1392	U3U2X6
NZ_CP034778.1_1393	B1ZV23
NZ_CP034778.1_1394	U3U9J0
NZ_CP034778.1_1395	U3U838
NZ_CP034778.1_1397	S6BSV4
NZ_CP034778.1_1398	S6BCJ3
NZ_CP034778.1_1399	U3U2Y0
NZ_CP034778.1_1400	I0GIQ2
NZ_CP034778.1_1401	H0ULR0
NZ_CP034778.1_1402	F4GLJ5
NZ_CP034778.1_1403	I0HZZ8
NZ_CP034778.1_1404	F8F4G2
NZ_CP034778.1_1406	Q8EZH4
NZ_CP034778.1_1407	I0I6I1
NZ_CP034778.1_1408	Q8F0Y5
NZ_CP034778.1_1410	F4GHR4
NZ_CP034778.1_1411	B1ZS59
NZ_CP034778.1_1412	D5EJ49
NZ_CP034778.1_1413	H1XSA3
NZ_CP034778.1_1416	Q1IJM1
NZ_CP034778.1_1417	A5UUY8
NZ_CP034778.1_1419	F8F1M8
NZ_CP034778.1_1420	E8V593
NZ_CP034778.1_1421	U3U7U5
NZ_CP034778.1_1422	U3U9J3
NZ_CP034778.1_1423	U3U843
NZ_CP034778.1_1424	U3U6D6
NZ_CP034778.1_1425	U3U2Y4
NZ_CP034778.1_1426	U3U7U9
NZ_CP034778.1_1427	U3U9J5
NZ_CP034778.1_1428	U3U846
NZ_CP034778.1_1429	U3U6E0
NZ_CP034778.1_1430	U3U2Z0
NZ_CP034778.1_1431	U3U7V1
NZ_CP034778.1_1432	U3U9J8
NZ_CP034778.1_1433	U3U849
NZ_CP034778.1_1434	U3U5R0
NZ_CP034778.1_1435	G2LIA0
NZ_CP034778.1_1436	B9L398
NZ_CP034778.1_1437	D1CBH6
NZ_CP034778.1_1438	D1C9D2
NZ_CP034778.1_1439	B2UMY4
NZ_CP034778.1_1440	S6BB57
NZ_CP034778.1_1441	B9L3E4
NZ_CP034778.1_1443	I0IND0
NZ_CP034778.1_1445	A9WJE6
NZ_CP034778.1_1446	F8F1D9
NZ_CP034778.1_1447	I3ZDV1
NZ_CP034778.1_1448	E8V3G6
NZ_CP034778.1_1449	G8P0B2
NZ_CP034778.1_1450	A9WJ18
NZ_CP034778.1_1451	A9WJ19
NZ_CP034778.1_1452	A5UYF7
NZ_CP034778.1_1453	I4BWT3
NZ_CP034778.1_1454	O30405
NZ_CP034778.1_1456	U3U2Z4
NZ_CP034778.1_1457	U3U7V4
NZ_CP034778.1_1458	S6BCY7
NZ_CP034778.1_1459	U3U9K1
NZ_CP034778.1_1460	E4TI04
NZ_CP034778.1_1461	I4B5L4
NZ_CP034778.1_1464	U3U6E8
NZ_CP034778.1_1465	E8V4A2
NZ_CP034778.1_1466	G8P0C6
NZ_CP034778.1_1467	D8PF64
NZ_CP034778.1_1468	S6CGZ0
NZ_CP034778.1_1469	D5EIF5
NZ_CP034778.1_1470	B0SN09
NZ_CP034778.1_1471	Q01NS3
NZ_CP034778.1_1472	H0UJ28
NZ_CP034778.1_1473	B2KB89
NZ_CP034778.1_1476	I3ZH39
NZ_CP034778.1_1477	I3ZI29
NZ_CP034778.1_1478	I3ZBN8
NZ_CP034778.1_1480	U3U7V7
NZ_CP034778.1_1481	D5EL23
NZ_CP034778.1_1482	S6C023
NZ_CP034778.1_1483	I0I423
NZ_CP034778.1_1485	E1R575
NZ_CP034778.1_1486	E6W3Z5
NZ_CP034778.1_1487	E1R577
NZ_CP034778.1_1488	E1R578
NZ_CP034778.1_1489	E8V8S1
NZ_CP034778.1_1490	I6ZWJ1
NZ_CP034778.1_1492	A9WJP4
NZ_CP034778.1_1493	F5YAL2
NZ_CP034778.1_1494	D5EN47
NZ_CP034778.1_1495	C1F3T7
NZ_CP034778.1_1497	B1ZNL7
NZ_CP034778.1_1498	A9B4K6
NZ_CP034778.1_1499	I4BYW7
NZ_CP034778.1_1500	I4BYW9
NZ_CP034778.1_1501	U3U301
NZ_CP034778.1_1502	J9ZEM0
NZ_CP034778.1_1503	F8ABP6
NZ_CP034778.1_1504	U3U2R6
NZ_CP034778.1_1505	C1A3S3
NZ_CP034778.1_1507	U3U9K4
NZ_CP034778.1_1509	A9AZG1
NZ_CP034778.1_1510	E1R2T5
NZ_CP034778.1_1511	C0QYC1
NZ_CP034778.1_1512	F8F3Q9
NZ_CP034778.1_1513	G2LD79
NZ_CP034778.1_1514	D5EK80
NZ_CP034778.1_1515	A9NH84
NZ_CP034778.1_1516	D3PBS1
NZ_CP034778.1_1517	B0SKI3
NZ_CP034778.1_1519	F4LLZ8
NZ_CP034778.1_1520	F5YNM8
NZ_CP034778.1_1521	F5YLG7
NZ_CP034778.1_1522	D8PI44
NZ_CP034778.1_1523	U3U3G5
NZ_CP034778.1_1524	U3U6V1
NZ_CP034778.1_1525	B2UNH0
NZ_CP034778.1_1526	F5YP84
NZ_CP034778.1_1528	I7A254
NZ_CP034778.1_1529	G0GF74
NZ_CP034778.1_1530	F8E744
NZ_CP034778.1_1531	A9B7M9
NZ_CP034778.1_1532	F8E742
NZ_CP034778.1_1534	I0GIX0
NZ_CP034778.1_1535	B1ZQK2
NZ_CP034778.1_1537	S6BH32
NZ_CP034778.1_1538	S6BWA0
NZ_CP034778.1_1541	C1A752
NZ_CP034778.1_1542	I4BY04
NZ_CP034778.1_1543	H0UMG8
NZ_CP034778.1_1544	C1F7X5
NZ_CP034778.1_1546	Q8F0X6
NZ_CP034778.1_1547	U3U9K7
NZ_CP034778.1_1548	D4M9I4
NZ_CP034778.1_1550	S0ET94
NZ_CP034778.1_1551	B5YFM1
NZ_CP034778.1_1552	F5YKG2
NZ_CP034778.1_1553	I0I639
NZ_CP034778.1_1554	F5YAL2
NZ_CP034778.1_1555	B8E173
NZ_CP034778.1_1557	B0VH39
NZ_CP034778.1_1558	F0RXQ9
NZ_CP034778.1_1559	I4BWG2
NZ_CP034778.1_1560	I4BWG3
NZ_CP034778.1_1561	I4BWG4
NZ_CP034778.1_1562	Q1IVK4
NZ_CP034778.1_1563	B8E2U3
NZ_CP034778.1_1564	B8E2N9
NZ_CP034778.1_1565	S6CFN6
NZ_CP034778.1_1566	B5YG05
NZ_CP034778.1_1567	B5YG06
NZ_CP034778.1_1568	B2KBE9
NZ_CP034778.1_1569	D8PIX5
NZ_CP034778.1_1570	B1ZNH7
NZ_CP034778.1_1571	D8PIX7
NZ_CP034778.1_1572	Q02A15
NZ_CP034778.1_1575	S6CFI9
NZ_CP034778.1_1576	E8N4Q4
NZ_CP034778.1_1577	I3ZB81
NZ_CP034778.1_1578	Q1IT49
NZ_CP034778.1_1579	H1XU18
NZ_CP034778.1_1580	S6BBF2
NZ_CP034778.1_1582	U3U6J6
NZ_CP034778.1_1583	U3U9N1
NZ_CP034778.1_1586	C9RND9
NZ_CP034778.1_1587	C9RRK0
NZ_CP034778.1_1588	I0I9E2
NZ_CP034778.1_1589	F8C3K3
NZ_CP034778.1_1590	I0I6E1
NZ_CP034778.1_1592	I4BX30
NZ_CP034778.1_1595	D8PHE5
NZ_CP034778.1_1596	U3U6F6
NZ_CP034778.1_1597	S6BD65
NZ_CP034778.1_1598	D4H578
NZ_CP034778.1_1599	H9UF80
NZ_CP034778.1_1600	C1AAF0
NZ_CP034778.1_1601	D1CA77
NZ_CP034778.1_1602	Q01PS7
NZ_CP034778.1_1603	G8QS50
NZ_CP034778.1_1604	B0SSL0
NZ_CP034778.1_1606	E8N204
NZ_CP034778.1_1607	C0QV37
NZ_CP034778.1_1608	U3U311
NZ_CP034778.1_1609	U3U7W6
NZ_CP034778.1_1610	U3U9L0
NZ_CP034778.1_1611	U3U863
NZ_CP034778.1_1612	U3U6G0
NZ_CP034778.1_1613	U3U316
NZ_CP034778.1_1614	U3U7X1
NZ_CP034778.1_1615	U3U9L3
NZ_CP034778.1_1616	I0AKD8
NZ_CP034778.1_1617	U3U1H9
NZ_CP034778.1_1618	C1F593
NZ_CP034778.1_1620	U3U773
NZ_CP034778.1_1622	Q6MSY7
NZ_CP034778.1_1623	S6BE83
NZ_CP034778.1_1624	U3U6X8
NZ_CP034778.1_1628	G7V5Y8
NZ_CP034778.1_1629	E6W0R4
NZ_CP034778.1_1630	D1CFK4
NZ_CP034778.1_1631	I4B3B6
NZ_CP034778.1_1632	C1F200
NZ_CP034778.1_1633	G8NVK5
NZ_CP034778.1_1635	G8P0H2
NZ_CP034778.1_1637	E8V7W4
NZ_CP034778.1_1640	G8NSV2
NZ_CP034778.1_1642	Q1ILZ7
NZ_CP034778.1_1643	J9ZED3
NZ_CP034778.1_1649	Q024Q4
NZ_CP034778.1_1650	Q024Q5
NZ_CP034778.1_1651	F5Y777
NZ_CP034778.1_1652	I4B9E2
NZ_CP034778.1_1654	B2KBI9
NZ_CP034778.1_1656	E6W2F7
NZ_CP034778.1_1657	E6W2F8
NZ_CP034778.1_1658	C1FAF4
NZ_CP034778.1_1665	Q3Z7H7
NZ_CP034778.1_1669	C1F1P4
NZ_CP034778.1_1673	E8N4Q1
NZ_CP034778.1_1680	C1F4R3
NZ_CP034778.1_1687	E6W215
NZ_CP034778.1_1688	A9B7R8
NZ_CP034778.1_1689	D8PF68
NZ_CP034778.1_1691	B1ZYL0
NZ_CP034778.1_1691	B1ZYL0
NZ_CP034778.1_1691	B1ZYL0
NZ_CP034778.1_1691	B1ZYL0
NZ_CP034778.1_1692	H1XP65
NZ_CP034778.1_1693	G8NU15
NZ_CP034778.1_1693	G8NU15
NZ_CP034778.1_1694	D4H8N3
NZ_CP034778.1_1695	D4H8M1
NZ_CP034778.1_1696	E6W211
NZ_CP034778.1_1698	I4BYN5
NZ_CP034778.1_1699	E6W6Y4
NZ_CP034778.1_1700	A9WDF5
NZ_CP034778.1_1701	U3U807
NZ_CP034778.1_1702	F8ABV3
NZ_CP034778.1_1704	G8NUC8
NZ_CP034778.1_1708	A9B4L0
NZ_CP034778.1_1709	J9ZDC5
NZ_CP034778.1_1710	J9ZCN9
NZ_CP034778.1_1711	C1AEB3
NZ_CP034778.1_1712	C1ADS6
NZ_CP034778.1_1713	F8E984
NZ_CP034778.1_1718	H9ULB2
NZ_CP034778.1_1719	B8E254
NZ_CP034778.1_1720	D1C627
NZ_CP034778.1_1721	B8E255
NZ_CP034778.1_1722	G8QRU6
NZ_CP034778.1_1724	U3U3D8
NZ_CP034778.1_1725	S6BSH9
NZ_CP034778.1_1726	U3U6T2
NZ_CP034778.1_1727	S6BXY9
NZ_CP034778.1_1730	B2KDC4
NZ_CP034778.1_1735	I0ILV4
NZ_CP034778.1_1740	U3U7G4
NZ_CP034778.1_1741	S0ET06
NZ_CP034778.1_1756	Q3Z7J6
NZ_CP034778.1_1757	Q3Z7J7
NZ_CP034778.1_1772	G8NQP3
NZ_CP034778.1_1779	F8C418
NZ_CP034778.1_1783	U3U2E4
NZ_CP034778.1_1784	F4GM08
NZ_CP034778.1_1785	E8V4X9
NZ_CP034778.1_1787	F0RUS6
NZ_CP034778.1_1788	U3U2E4
NZ_CP034778.1_1790	S0ETT9
NZ_CP034778.1_1791	E1R7J9
NZ_CP034778.1_1792	H9UID0
NZ_CP034778.1_1793	G7V787
NZ_CP034778.1_1795	G8QXC8
NZ_CP034778.1_1796	F4GM16
NZ_CP034778.1_1797	U3U332
NZ_CP034778.1_1799	C1F5H4
NZ_CP034778.1_1800	S6CG58
NZ_CP034778.1_1801	U3U9M1
NZ_CP034778.1_1804	J9ZC85
NZ_CP034778.1_1805	U3U894
NZ_CP034778.1_1806	S6BTZ5
NZ_CP034778.1_1807	S6BK66
NZ_CP034778.1_1808	U3U6I8
NZ_CP034778.1_1809	U3U336
NZ_CP034778.1_1810	S6BDK9
NZ_CP034778.1_1811	I0GIT3
NZ_CP034778.1_1812	I0GIT2
NZ_CP034778.1_1813	B9L319
NZ_CP034778.1_1814	S6BV33
NZ_CP034778.1_1815	U3U9M3
NZ_CP034778.1_1816	S6BZY9
NZ_CP034778.1_1817	B8E0M8
NZ_CP034778.1_1818	U3U899
NZ_CP034778.1_1819	G8NXL7
NZ_CP034778.1_1820	D4M8Q8
NZ_CP034778.1_1821	D5EI15
NZ_CP034778.1_1824	H1XPJ5
NZ_CP034778.1_1825	D1C533
NZ_CP034778.1_1827	A5UTE2
NZ_CP034778.1_1835	A9AUQ2
NZ_CP034778.1_1836	D4H238
NZ_CP034778.1_1836	D4H238
NZ_CP034778.1_1837	D4H237
NZ_CP034778.1_1838	H1XWT4
NZ_CP034778.1_1840	I0AJN2
NZ_CP034778.1_1841	S6C016
NZ_CP034778.1_1842	D1C6K4
NZ_CP034778.1_1843	E1RCH0
NZ_CP034778.1_1846	U3U9T9
NZ_CP034778.1_1847	U3U7Q2
NZ_CP034778.1_1849	F4LME8
NZ_CP034778.1_1851	C0R287
NZ_CP034778.1_1852	C0R288
NZ_CP034778.1_1853	B1H086
NZ_CP034778.1_1854	U3U6J6
NZ_CP034778.1_1855	D1C8G6
NZ_CP034778.1_1856	D4M7U6
NZ_CP034778.1_1857	G2LI34
NZ_CP034778.1_1858	U3U344
NZ_CP034778.1_1860	D5EL16
NZ_CP034778.1_1861	S6BRV8
NZ_CP034778.1_1862	S6BHY3
NZ_CP034778.1_1863	F8C561
NZ_CP034778.1_1864	D1C9B6
NZ_CP034778.1_1865	S6BAU7
NZ_CP034778.1_1866	U3U9N0
NZ_CP034778.1_1867	U3U8A6
NZ_CP034778.1_1868	U3U6K0
NZ_CP034778.1_1870	H1XXW7
NZ_CP034778.1_1873	S6C0Q4
NZ_CP034778.1_1874	D4H0U5
NZ_CP034778.1_1875	A9AU89
NZ_CP034778.1_1876	G2LI49
NZ_CP034778.1_1877	D1C690
NZ_CP034778.1_1878	S6BXN3
NZ_CP034778.1_1879	U3U348
NZ_CP034778.1_1880	I0AJS5
NZ_CP034778.1_1881	E6W5F9
NZ_CP034778.1_1882	C1F7F9
NZ_CP034778.1_1883	U3U9Q6
NZ_CP034778.1_1884	G2LL60
NZ_CP034778.1_1886	B3DZH5
NZ_CP034778.1_1887	J9ZBL6
NZ_CP034778.1_1890	B1ZUZ0
NZ_CP034778.1_1891	B8E131
NZ_CP034778.1_1892	B1GYX5
NZ_CP034778.1_1893	H1XSA3
NZ_CP034778.1_1894	H9ULQ9
NZ_CP034778.1_1895	D5MFC9
NZ_CP034778.1_1896	D5MFC8
NZ_CP034778.1_1897	D4H627
NZ_CP034778.1_1898	G8QUE9
NZ_CP034778.1_1899	D3PC15
NZ_CP034778.1_1901	U3U920
NZ_CP034778.1_1902	F4LLV8
NZ_CP034778.1_1903	G8NQZ8
NZ_CP034778.1_1904	Q3Z6Y8
NZ_CP034778.1_1906	C1F7X5
NZ_CP034778.1_1908	S6BBX6
NZ_CP034778.1_1911	E8X5R8
NZ_CP034778.1_1913	J9ZCU5
NZ_CP034778.1_1915	I0IRQ3
NZ_CP034778.1_1917	H1XST6
NZ_CP034778.1_1918	H1XST6
